date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:37	35827/35827	---M--	200	added ('OK')	image/jpeg	etag:%228bf3-567a468376a0f%22	https://www.transcanin.fr/data/galerie/2/2.jpg	E:/jov/www.transcanin.fr/data/galerie/2/2.jpg	(from https://www.transcanin.fr/)
00:19:37	25541/25541	---M--	200	added ('OK')	image/jpeg	etag:%2263c5-56794f4ff248f%22	https://www.transcanin.fr/images/transcanin-650x650.jpg	E:/jov/www.transcanin.fr/images/transcanin-650x650.jpg	(from https://www.transcanin.fr/)
00:19:37	8496/8496	---M--	200	added ('OK')	image/jpeg	etag:%222130-567b6c80b6c99%22	https://www.transcanin.fr/images/facebook-logo-transcanin.jpg	E:/jov/www.transcanin.fr/images/facebook-logo-transcanin.jpg	(from https://www.transcanin.fr/)
00:19:38	43549/43549	---M--	200	added ('OK')	image/jpeg	etag:%22aa1d-56794f4e1c8ef%22	https://www.transcanin.fr/images/team-transcanin-900x1000-1.jpg	E:/jov/www.transcanin.fr/images/team-transcanin-900x1000-1.jpg	(from https://www.transcanin.fr/)
00:19:38	16044/16044	---M--	200	added ('OK')	image/jpeg	etag:%223eac-56794f4df678f%22	https://www.transcanin.fr/images/team-transcanin-900x1000-2.jpg	E:/jov/www.transcanin.fr/images/team-transcanin-900x1000-2.jpg	(from https://www.transcanin.fr/)
00:19:39	33484/33484	---M--	200	added ('OK')	image/jpeg	etag:%2282cc-56794f4ee6b4f%22	https://www.transcanin.fr/images/team-transcanin-900x1000-3.jpg	E:/jov/www.transcanin.fr/images/team-transcanin-900x1000-3.jpg	(from https://www.transcanin.fr/)
00:19:39	38922/38922	---M--	200	added ('OK')	image/jpeg	etag:%22980a-56794f4f12a6f%22	https://www.transcanin.fr/images/team-transcanin-900x1000-4.jpg	E:/jov/www.transcanin.fr/images/team-transcanin-900x1000-4.jpg	(from https://www.transcanin.fr/)
00:19:40	19811/19811	---M--	200	added ('OK')	image/jpeg	etag:%224d63-56794f507fe2f%22	https://www.transcanin.fr/images/transcanin-prix-transport-1920x500-1.jpg	E:/jov/www.transcanin.fr/images/transcanin-prix-transport-1920x500-1.jpg	(from https://www.transcanin.fr/)
00:19:41	15616/15616	---M--	200	added ('OK')	image/jpeg	etag:%223d00-56794f50dbaef%22	https://www.transcanin.fr/images/transcanin-prix-transport-1920x500-2.jpg	E:/jov/www.transcanin.fr/images/transcanin-prix-transport-1920x500-2.jpg	(from https://www.transcanin.fr/)
00:19:42	19644/19644	---M--	200	added ('OK')	image/jpeg	etag:%224cbc-56794f50f60cf%22	https://www.transcanin.fr/images/transcanin-prix-transport-1920x500-3.jpg	E:/jov/www.transcanin.fr/images/transcanin-prix-transport-1920x500-3.jpg	(from https://www.transcanin.fr/)
00:19:42	18226/18226	---M--	200	added ('OK')	image/jpeg	etag:%224732-56794f51413ef%22	https://www.transcanin.fr/images/transcanin-prix-transport-1920x500-4.jpg	E:/jov/www.transcanin.fr/images/transcanin-prix-transport-1920x500-4.jpg	(from https://www.transcanin.fr/)
00:19:43	3171/3171	---M--	200	added ('OK')	image/png	etag:%22c63-567a469245a4f%22	https://www.transcanin.fr/images/logo-personal-footer.png	E:/jov/www.transcanin.fr/images/logo-personal-footer.png	(from https://www.transcanin.fr/)
00:19:43	84245/84245	---M-Z	200	added ('OK')	text/javascript	etag:%2214915-56794f5ab336f-gzip%22	https://www.transcanin.fr/js/jquery.min.js	E:/jov/www.transcanin.fr/js/jquery.min.js	(from https://www.transcanin.fr/)
00:19:44	7825/7825	---M-Z	200	added ('OK')	text/javascript	etag:%221e91-56794f5abfe8f-gzip%22	https://www.transcanin.fr/js/modernizr.js	E:/jov/www.transcanin.fr/js/modernizr.js	(from https://www.transcanin.fr/)
00:19:46	35951/35951	---M-Z	200	added ('OK')	text/javascript	etag:%228c6f-56794f574836f-gzip%22	https://www.transcanin.fr/js/bootstrap.min.js	E:/jov/www.transcanin.fr/js/bootstrap.min.js	(from https://www.transcanin.fr/)
00:19:46	8097/8097	---M-Z	200	added ('OK')	text/javascript	etag:%221fa1-56794f586464f-gzip%22	https://www.transcanin.fr/js/jquery.easing.1.3.js	E:/jov/www.transcanin.fr/js/jquery.easing.1.3.js	(from https://www.transcanin.fr/)
00:19:47	13001/13001	---M-Z	200	added ('OK')	text/javascript	etag:%2232c9-56794f5b8914f-gzip%22	https://www.transcanin.fr/js/skrollr.min.js	E:/jov/www.transcanin.fr/js/skrollr.min.js	(from https://www.transcanin.fr/)
00:19:48	2648/2648	---M-Z	200	added ('OK')	text/javascript	etag:%22a58-56794f5bb40cf-gzip%22	https://www.transcanin.fr/js/smooth-scroll.js	E:/jov/www.transcanin.fr/js/smooth-scroll.js	(from https://www.transcanin.fr/)
00:19:48	2702/2702	---M-Z	200	added ('OK')	text/javascript	etag:%22a8e-56794f57d6caf-gzip%22	https://www.transcanin.fr/js/jquery.appear.js	E:/jov/www.transcanin.fr/js/jquery.appear.js	(from https://www.transcanin.fr/)
00:19:50	5257/5257	---M-Z	200	added ('OK')	text/javascript	etag:%221489-56794f5926baf-gzip%22	https://www.transcanin.fr/js/jquery.nav.js	E:/jov/www.transcanin.fr/js/jquery.nav.js	(from https://www.transcanin.fr/)
00:19:50	7154/7154	---M-Z	200	added ('OK')	text/javascript	etag:%221bf2-56794f5bd34cf-gzip%22	https://www.transcanin.fr/js/wow.min.js	E:/jov/www.transcanin.fr/js/wow.min.js	(from https://www.transcanin.fr/)
